id,system,title,short title,short description,content,at a glance progress indicators description,at a glance action indicators description,state of progress description,state of action description,data challenges
fsys_risk,Finance,"Measure, disclose and manage climate- and nature-related financial risks","Measure, disclose and manage climate- and nature-related financial risks",,,,,,,
fsys_pubfin,Finance,Scale up public finance for climate and nature,Scale up public climate finance for climate and nature,,,,,,,
fsys_privfin,Finance,Scale up private finance for climate and nature,Scale up private finance for climate and nature,,,,,,,
fsys_finserv,Finance,Extend economic and financial inclusion to underserved and marginalized groups,Extend economic and financial inclusion to underserved and marginalized groups,,,,,,,
fsys_price,Finance,Price greenhouse gas emissions and other environmental externalities,Price greenhouse gas emissions and other environmental externalities,,,,,,,
fsys_subs,Finance,Eliminate harmful subsidies and financing,Eliminate harmful subsidies and financing,,,,,,,
pwr_unbtd,Power,Phase out unabated coal and fossil gas electricity generation,Phase out unabated coal and fossil gas electricity generation,,,,,,,
pwr_rnwbl,Power,Rapidly scale up zero-carbon electricity generation,Rapidly scale up zero-carbon electricity generation,,,,,,,
pwr_grd,Power,"Modernize power grids, scale energy storage and manage power demand","Modernize power grids, scale energy storage and manage power demand",,,,,,,
pwr_accss,Power,Ensure energy access and a just and equitable transition for all,Ensure energy access and a just and equitable transition for all,,,,,,,
trns_pblc,Transport,Guarantee reliable access to safe and modern mobility,Guarantee reliable access to safe and modern mobility,,,,,,,
trns_rdc,Transport,Reduce avoidable vehicle and air travel,Reduce avoidable vehicle and air travel,,,,,,,
trns_shft,Transport,"Shift to public, shared and non-motorized transport","Shift to public, shared and non-motorized transport",,,,,,,
trns_zcvhcl,Transport,Transition to zero-carbon cars and trucks,Transition to zero-carbon cars and trucks,,,,,,,
trns_zcshpav,Transport,Transition to zero-carbon shipping and aviation,Transition to zero-carbon shipping and aviation,,,,,,,
crmvl_crmvl,Technological Carbon Removal,Scale up technological carbon removal,Scale up technological carbon removal,,,,,,,
indst_dmnd,Industry,"Reduce demand for cement, steel and plastics","Reduce demand for cement, steel and plastics",,,,,,,
indst_effcncy,Industry,Improve industrial energy efficiency,Improve industrial energy efficiency,,,,,,,
indst_elctrfy,Industry,Electrify industry,Electrify industry,,,,,,,
indst_zrcrbn,Industry,"Commercialize new solutions for cement, steel and plastics","Commercialize new solutions for cement, steel and plastics",,,,,,,
indst_mthn,Industry,Reduce methane emissions from oil and gas operations as they are phased down,Reduce methane emissions from oil and gas operations as they are phased down,,,,,,,
cty_cmpct,Cities and the Built Environment,Adopt land use strategies that limit urban expansion and increase accessibility,Adopt land use strategies that limit urban expansion and increase accessibility,,,,,,,
cty_bldng,Cities and the Built Environment,Optimize building energy use,Optimize building energy use,,,,,,,
cty_dcrbnz,Cities and the Built Environment,"Decarbonize heating, cooling and appliances","Decarbonize heating, cooling and appliances",,,,,,,
cty_accss,Cities and the Built Environment,"Guarantee access to safe, resilient transport and shelter","Guarantee access to safe, resilient transport and shelter",,,,,,,
cty_waste,Cities and the Built Environment,Rapidly scale up zero waste outcomes in cities,Rapidly scale up zero waste outcomes in cities,,,,,,,