id,title,color,icon,short description,content,at a glance description,tracking description,progress description
fsys,Finance,,,,,,,
pwr,Power,,,,,,,
indst,Industry,,,,,,,
trns,Transport,,,,,,,
cty,Cities and the Built Environment,,,,,,,
crmvl,Technological Carbon Removal,,,,,,,
food,Food,,,,,,,
land,Forests and Land Management,,,,,,,
ocean,Ocean Management,,,,,,,
wtr,Freshwater Management,,,,,,,
crclr,Circular Economy,,,,,,,
ecnmc,New Economics for Climate and Nature,,,,,,,
eqty,Social Inclusion and Equity,,,,,,,
gov,Good Governance,,,,,,,